Row Labels,Merchant Street Address,Transaction WeekOfYear,Average of Unit Cost,Average of unleadedavgPrice,Average of unleadedstedev,
#40 Wallis,I-44 & Hwy 19,28,2.1,2.120970874,0.071927449,High
7-Eleven 30137,625 W Roosevelt Rd,42,2.66,2.344356436,0.110547871,High
Boomland #1,100 Beasley Park Rd,31,2.1,2.198024691,0.049356351,High
BP 5823836,2532 E US Highway 36,41,2.3,2.369791667,0.059453284,High
BP 5823836,2532 E US Highway 36,42,2.3,2.344356436,0.110547871,High
BP 5823836,2532 E US Highway 36,44,2.59,2.586727273,0.138166959,High
BP 5823836,2532 E US Highway 36,46,2.6,2.640891089,0.042687211,High
BP 5823836,2532 E US Highway 36,47,2.6,2.519753086,0.082461738,High
BP 5823836,2532 E US Highway 36,48,2.47,2.464803922,0.085094361,High
BP 6295612,1860 E Court St,43,2.34,2.445714286,0.12409563,High
BP 6549448,302 W Washington St,18,2.2,2.130454545,0.059343324,High
BP 6549448,302 W Washington St,41,2.3,2.369791667,0.059453284,High
BP 8293250,1043 S Crescent St,46,2.54,2.640891089,0.042687211,High
BP 8608770,301 S Murray Rd,50,2.33,2.351440678,0.089081499,High
BP 8614653,2901 Adlai Stevenson Dr,39,2.4,2.398737864,0.104381273,High
BP 8617102,1821 Philo Rd,1,2.33,2.433513514,0.108608125,Average
BP 8617102,1821 Philo Rd,2,2.493333333,2.479344262,0.056198257,Average
BP 8617102,1821 Philo Rd,3,2.34,2.400842105,0.142004369,Average
BP 8617102,1821 Philo Rd,4,2.255,2.236203704,0.088715839,Average
BP 8617102,1821 Philo Rd,5,2.14,2.169454545,0.065718839,Average
BP 8617102,1821 Philo Rd,6,2.123333333,2.114,0.06391221,Average
BP 8617102,1821 Philo Rd,7,2.28,2.256153846,0.083320736,High
BP 8617102,1821 Philo Rd,8,2.235,2.278265306,0.083764834,High
BP 8617102,1821 Philo Rd,9,2.24,2.332056075,0.071437244,High
BP 8617102,1821 Philo Rd,11,2.4,2.197592593,0.165200928,High
BP 8617102,1821 Philo Rd,12,2.28,2.353861386,0.056920476,High
BP 8617102,1821 Philo Rd,14,2.38,2.348469388,0.164243671,High
BP 8617102,1821 Philo Rd,16,2.1,2.288518519,0.163099733,High
BP 8617102,1821 Philo Rd,17,2.18,2.210505051,0.074290848,High
BP 8617102,1821 Philo Rd,18,2.09,2.130454545,0.059343324,High
BP 8617102,1821 Philo Rd,20,2.25,2.2975,0.098990787,High
BP 8617102,1821 Philo Rd,21,2.24,2.25754902,0.127663204,High
BP 8617102,1821 Philo Rd,22,2.166666667,2.209885057,0.043894542,High
BP 8617102,1821 Philo Rd,23,2.16,2.186530612,0.101026709,High
BP 8617102,1821 Philo Rd,25,2.04,2.05311828,0.038701154,High
BP 8617102,1821 Philo Rd,27,2.12,2.145816327,0.051210571,High
BP 8617102,1821 Philo Rd,29,2.03,2.067272727,0.082780977,High
BP 8617102,1821 Philo Rd,30,2.1,2.132427184,0.114055938,High
BP 8617102,1821 Philo Rd,32,2.17,2.262788462,0.19092751,High
BP 8617102,1821 Philo Rd,33,2.345,2.328241758,0.08020243,High
BP 8617102,1821 Philo Rd,34,2.27,2.284326923,0.056099157,High
BP 8617102,1821 Philo Rd,35,2.382,2.391445783,0.078088951,High
BP 8617102,1821 Philo Rd,36,2.58,2.534886364,0.095158601,High
BP 8617102,1821 Philo Rd,37,2.57,2.541935484,0.124867391,High
BP 8617102,1821 Philo Rd,39,2.385,2.398737864,0.104381273,High
BP 8617102,1821 Philo Rd,41,2.37,2.369791667,0.059453284,High
BP 8617102,1821 Philo Rd,43,2.44,2.445714286,0.12409563,High
BP 8617102,1821 Philo Rd,44,2.43,2.586727273,0.138166959,High
BP 8617102,1821 Philo Rd,46,2.66,2.640891089,0.042687211,High
